# gapseq version: 1.2 34eb2fd3
# Sequence DB md5sum: 1139b8e (2021-06-02, Bacteria)
# Genome format: nucl
ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
|ARGASEDEG-PWY|	L-arginine degradation I (arginase pathway)	false	66	0	0	0	ORNITHINE-GLU-AMINOTRANSFERASE-RXN RXN-14116 
|ARGDEG-III-PWY|	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	true	100	0	0	0	ARGDECARBOX-RXN AGMATINE-DEIMINASE-RXN N-CARBAMOYLPUTRESCINE-AMIDASE-RXN 
|ARGDEG-IV-PWY|	L-arginine degradation VIII (arginine oxidase pathway)	false	75	0	1	0	GUANIDINOBUTYRASE-RXN 1.2.1.54-RXN 4.1.1.75-RXN 
|ARGDEG-V-PWY|	L-arginine degradation X (arginine monooxygenase pathway)	false	66	0	1	0	GUANIDINOBUTANAMIDE-NH3-RXN GUANIDINOBUTYRASE-RXN 
|ARG-GLU-PWY|	L-arginine degradation VII (arginase 3 pathway)	false	0	0	0	0	
|ARG-PRO-PWY|	L-arginine degradation VI (arginase 2 pathway)	false	66	0	2	1	PYRROLINECARBREDUCT-RXN ORNITHINE-GLU-AMINOTRANSFERASE-RXN 
|ARGSPECAT-PWY|	spermine biosynthesis	false	50	0	1	0	SAMDECARB-RXN 
|ARGSYNBSUB-PWY|	L-arginine biosynthesis II (acetyl cycle)	true	100	0	2	2	ARGSUCCINSYN-RXN ARGSUCCINLYA-RXN ORNCARBAMTRANSFER-RXN ACETYLORNTRANSAM-RXN N-ACETYLGLUTPREDUCT-RXN ACETYLGLUTKIN-RXN GLUTAMATE-N-ACETYLTRANSFERASE-RXN CARBPSYN-RXN N-ACETYLTRANSFER-RXN 
|ASPARAGINE-BIOSYNTHESIS|	L-asparagine biosynthesis I	false	0	0	0	0	
|ASPARAGINE-DEG1-PWY|	L-asparagine degradation I	true	100	0	0	0	ASPARAGHYD-RXN 
|ASPARAGINESYN-PWY|	L-asparagine biosynthesis II	false	0	0	0	0	
|ASPARTATE-DEG1-PWY|	L-aspartate degradation I	true	100	0	0	0	ASPAMINOTRANS-RXN 
|ASPARTATESYN-PWY|	L-aspartate biosynthesis	true	100	0	0	0	ASPAMINOTRANS-RXN 
|AST-PWY|	L-arginine degradation II (AST pathway)	true	80	0	0	0	ARGININE-N-SUCCINYLTRANSFERASE-RXN SUCCARGDIHYDRO-RXN SUCCORNTRANSAM-RXN SUCCGLUALDDEHYD-RXN 
|BETSYN-PWY|	glycine betaine biosynthesis I (Gram-negative bacteria)	true	100	0	0	0	CHD-RXN BADH-RXN 
|BGALACT-PWY|	lactose degradation III	false	0	0	0	0	
|BSUBPOLYAMSYN-PWY|	spermidine biosynthesis I	true	100	0	0	0	SPERMIDINESYN-RXN SAMDECARB-RXN 
|CALVIN-PWY|	Calvin-Benson-Bassham cycle	false	76	0	1	0	PHOSGLYPHOS-RXN 1.2.1.13-RXN TRIOSEPISOMERIZATION-RXN F16ALDOLASE-RXN SEDOBISALDOL-RXN 1TRANSKETO-RXN 2TRANSKETO-RXN RIBULP3EPIM-RXN PHOSPHORIBULOKINASE-RXN RIB5PISOM-RXN 
|CARNMET-PWY|	L-carnitine degradation I	false	25	0	0	0	LCARNCOALIG-RXN 
|CATECHOL-ORTHO-CLEAVAGE-PWY|	catechol degradation to &beta;-ketoadipate	false	0	0	1	0	
|CENTBENZCOA-PWY|	benzoyl-CoA degradation II (anaerobic)	false	28	1	1	0	RXN-8032 
|CENTFERM-PWY|	pyruvate fermentation to butanoate	false	42	0	0	0	ACETYL-COA-ACETYLTRANSFER-RXN RXN-11662 RXN-16834 
|CHLOROPHYLL-SYN|	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	false	22	0	2	0	UROGENDECARBOX-RXN RXN0-1461 
|CHOLINE-BETAINE-ANA-PWY|	choline degradation I	true	100	0	0	0	BADH-RXN CHD-RXN 
|CITRULLINE-DEG-PWY|	L-citrulline degradation	false	50	0	1	1	ORNCARBAMTRANSFER-RXN 
|COA-PWY|	coenzyme A biosynthesis I (prokaryotic)	true	100	0	1	1	PANTEPADENYLYLTRAN-RXN DEPHOSPHOCOAKIN-RXN P-PANTOCYSDECARB-RXN P-PANTOCYSLIG-RXN 
|CODH-PWY|	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	false	60	0	2	1	FORMATE-DEHYDROGENASE-NADP+-RXN RXN-5061 1.5.1.20-RXN METHENYLTHFCYCLOHYDRO-RXN METHYLENETHFDEHYDROG-NADP-RXN RXN-21797 
|CRNFORCAT-PWY|	creatinine degradation I	false	0	0	0	0	
|CYANCAT-PWY|	cyanate degradation	false	0	0	1	0	
|CYCLOHEXANOL-OXIDATION-PWY|	cyclohexanol degradation	false	20	0	1	0	6-OXOHEXANOATE-OXIDATION-RXN 
|CYSTSYN-PWY|	L-cysteine biosynthesis I	true	100	0	0	0	SERINE-O-ACETTRAN-RXN ACSERLY-RXN 
|DAPLYSINESYN-PWY|	L-lysine biosynthesis I	true	100	0	1	1	DIAMINOPIMEPIM-RXN DIAMINOPIMDECARB-RXN SUCCDIAMINOPIMDESUCC-RXN SUCCINYLDIAMINOPIMTRANS-RXN TETHYDPICSUCC-RXN DIHYDRODIPICSYN-RXN ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN ASPARTATEKIN-RXN RXN-14014 
|DARABCATK12-PWY|	D-arabinose degradation I	false	50	0	1	0	DARABALDOL-RXN GLYCOLALD-DEHYDROG-RXN 
|DARABCAT-PWY|	D-arabinose degradation II	false	0	0	2	0	
|DARABITOLUTIL-PWY|	D-arabitol degradation	true	100	0	0	0	D-ARABINITOL-4-DEHYDROGENASE-RXN XYLULOKIN-RXN 
|DENITRIFICATION-PWY|	nitrate reduction I (denitrification)	false	40	1	2	0	RXN-15838 
|DESULFONATION-PWY|	benzenesulfonate degradation	false	0	1	0	0	
|DETOX1-PWY|	superoxide radicals degradation	true	100	0	0	0	SUPEROX-DISMUT-RXN CATAL-RXN 
|DHGLUCONATE-PYR-CAT-PWY|	glucose degradation (oxidative)	false	75	0	0	0	DEHYDOGLUCONOKINASE-RXN 1.1.1.43-RXN GLUCONATE-2-DEHYDROGENASE-RXN 
|DISSULFRED-PWY|	dissimilatory sulfate reduction I (to hydrogen sufide))	false	25	0	0	0	SULFATE-ADENYLYLTRANS-RXN 
|DTDPRHAMSYN-PWY|	dTDP-&beta;-L-rhamnose biosynthesis	true	100	0	0	0	DTDPDEHYDRHAMEPIM-RXN DTDPDEHYRHAMREDUCT-RXN DTDPGLUCOSEPP-RXN DTDPGLUCDEHYDRAT-RXN 
|ENTNER-DOUDOROFF-PWY|	Entner-Doudoroff shunt	true	100	0	0	0	KDPGALDOL-RXN PGLUCONDEHYDRAT-RXN 
|ETOH-ACETYLCOA-ANA-PWY|	ethanol degradation I	false	50	0	1	0	ALCOHOL-DEHYDROG-RXN 
|FAO-PWY|	fatty acid &beta;-oxidation I (generic)	true	100	0	0	0	OHACYL-COA-DEHYDROG-RXN KETOACYLCOATHIOL-RXN OHBUTYRYL-COA-EPIM-RXN ACYLCOASYN-RXN ACYLCOADEHYDROG-RXN ENOYL-COA-DELTA-ISOM-RXN ENOYL-COA-HYDRAT-RXN 
|FASYN-ELONG-PWY|	fatty acid elongation -- saturated	true	100	0	0	0	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN ENOYL-ACP-REDUCT-NADPH-RXN ENOYL-ACP-REDUCT-NADH-RXN 3-OXOACYL-ACP-REDUCT-RXN 3-OXOACYL-ACP-SYNTH-RXN 
|FERMENTATION-PWY|	mixed acid fermentation	false	62	0	0	0	PHOSACETYLTRANS-RXN ALCOHOL-DEHYDROG-RXN PEPDEPHOS-RXN FUMHYDR-RXN PEPCARBOX-RXN R601-RXN CITSYN-RXN ACONITATEDEHYDR-RXN ACONITATEHYDR-RXN ISOCITDEH-RXN 
|FESULFOX-PWY|	sulfur oxidation II (Fe+3-dependent)	false	0	2	0	0	
|FLUORENE-DEG-9-ONE-PWY|	fluorene degradation I	false	14	5	0	0	RXN-19492 
|FORMASS-PWY|	formaldehyde oxidation IV (thiol-independent)	true	100	0	0	0	FORMALDEHYDE-DEHYDROGENASE-RXN 
|FUCCAT-PWY|	fucose degradation	false	25	0	1	0	FUCPALDOL-RXN 
|GALACTARDEG-PWY|	D-galactarate degradation I	false	25	0	0	0	GKI-RXN 
|GALACTCAT-PWY|	D-galactonate degradation	false	66	0	0	0	DEHYDDEOXGALACTKIN-RXN GALACTONDEHYDRAT-RXN 
|GALACTITOLCAT-PWY|	galactitol degradation	false	0	0	1	0	
|GALACTUROCAT-PWY|	D-galacturonate degradation I	false	40	0	0	0	DEOXYGLUCONOKIN-RXN KDPGALDOL-RXN 
|GALDEG-PWY|	D-galactose degradation II	false	0	0	1	0	
|GALLATE-DEGRADATION-II-PWY|	gallate degradation I	false	33	0	1	0	RXN-2464 
|GALLATE-DEGRADATION-I-PWY|	gallate degradation II	false	25	0	1	0	RXN-2464 
|GAMMAHEXCHLORDEG-PWY|	&gamma;-hexachlorocyclohexane degradation	false	12	0	1	0	MALEYLACETATE-REDUCTASE-RXN 
|GDPRHAMSYN-PWY|	GDP-D-rhamnose biosynthesis	false	0	0	1	0	
|GLNSYN-PWY|	L-glutamine biosynthesis I	true	100	0	0	0	GLUTAMINESYN-RXN 
|GLUAMCAT-PWY|	N-acetylglucosamine degradation I	false	0	0	0	0	
|GLUCARDEG-PWY|	D-glucarate degradation I	false	25	0	0	0	GKI-RXN 
|GLUCONEO-PWY|	gluconeogenesis I	true	84	0	0	0	F16ALDOLASE-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 3PGAREARR-RXN 2PGADEHYDRAT-RXN PEPCARBOXYKIN-RXN PEPSYNTH-RXN MALIC-NADP-RXN TRIOSEPISOMERIZATION-RXN 1.1.1.39-RXN PGLUCISOM-RXN 
|GLUCONSUPER-PWY|	D-gluconate degradation	false	0	0	0	0	
|GLUCOSE1PMETAB-PWY|	glucose and glucose-1-phosphate degradation	false	50	0	0	0	PHOSPHOGLUCMUT-RXN GLUCOKIN-RXN 
|GLUTAMATE-DEG1-PWY|	L-glutamate degradation I	true	100	0	0	0	GLUTAMATE-DEHYDROGENASE-RXN 
|GLUTAMATE-SYN2-PWY|	L-glutamate biosynthesis II	false	0	0	0	0	
|GLUTAMINDEG-PWY|	L-glutamine degradation I	true	100	0	0	0	GLUTAMIN-RXN 
|GLUTAMINEFUM-PWY|	L-glutamine degradation II	true	100	0	0	0	GLUTAMATESYN-RXN 
|GLUTATHIONESYN-PWY|	glutathione biosynthesis	true	100	0	0	0	GLUTCYSLIG-RXN GLUTATHIONE-SYN-RXN 
|GLUTDEG-PWY|	L-glutamate degradation II	true	100	0	0	0	ASPAMINOTRANS-RXN ASPARTASE-RXN 
|GLUTORN-PWY|	L-ornithine biosynthesis I	true	80	0	0	0	N-ACETYLTRANSFER-RXN ACETYLGLUTKIN-RXN N-ACETYLGLUTPREDUCT-RXN ACETYLORNTRANSAM-RXN 
|GLUT-REDOX-PWY|	glutathione-glutaredoxin redox reactions	false	0	0	0	0	
|GLUTSYNIII-PWY|	L-glutamate biosynthesis III	true	100	0	0	0	GLUTDEHYD-RXN 
|GLUTSYN-PWY|	L-glutamate biosynthesis I	true	100	0	0	0	GLUTAMIN-RXN GLUTDEHYD-RXN 
|GLYCEROLMETAB-PWY|	glycerol degradation V	false	50	0	0	0	GLYCDEH-RXN 
|GLYCLEAV-PWY|	glycine cleavage	true	100	0	1	1	GCVP-RXN GCVT-RXN RXN-8629 
|GLYCOCAT-PWY|	glycogen degradation I	false	37	0	1	0	RXN0-5183 PHOSPHOGLUCMUT-RXN GLUCOKIN-RXN 
|GLYCOGENSYNTH-PWY|	glycogen biosynthesis I (from ADP-D-Glucose)	false	25	0	1	0	PHOSPHOGLUCMUT-RXN 
|GLYCOLATEMET-PWY|	glycolate and glyoxylate degradation I	false	50	0	1	1	GLYOCARBOLIG-RXN GKI-RXN 
|GLYCOLYSIS|	glycolysis I (from glucose 6-phosphate)	false	75	0	0	0	PEPDEPHOS-RXN 2PGADEHYDRAT-RXN 3PGAREARR-RXN PHOSGLYPHOS-RXN GAPOXNPHOSPHN-RXN TRIOSEPISOMERIZATION-RXN F16ALDOLASE-RXN PGLUCISOM-RXN PEPSYNTH-RXN 
|GLYOXDEG-PWY|	glycolate and glyoxylate degradation II	false	50	0	0	0	MALSYN-RXN 
|GLYOXYLATE-BYPASS|	glyoxylate cycle	true	83	0	2	2	MALSYN-RXN ISOCIT-CLEAV-RXN ACONITATEHYDR-RXN CITSYN-RXN ACONITATEDEHYDR-RXN 
|GLYSYN-ALA-PWY|	glycine biosynthesis III	true	100	0	0	0	ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN 
|GLYSYN-PWY|	glycine biosynthesis I	true	100	0	0	0	GLYOHMETRANS-RXN 
|GLYSYN-THR-PWY|	glycine biosynthesis IV	true	100	0	0	0	THREONINE-ALDOLASE-RXN 
|HCAMHPDEG-PWY|	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	false	0	0	1	0	
|HEME-BIOSYNTHESIS-II-1|	heme b biosynthesis V (aerobic)	true	100	0	1	1	UROGENDECARBOX-RXN PROTOHEMEFERROCHELAT-RXN RXN0-1461 RXN-21483 
|HEME-BIOSYNTHESIS-II|	heme b biosynthesis I (aerobic)	true	75	0	1	1	UROGENDECARBOX-RXN PROTOHEMEFERROCHELAT-RXN RXN0-1461 
|HEMESYN2-PWY|	heme b biosynthesis II (oxygen-independent)	false	75	0	1	0	PROTOHEMEFERROCHELAT-RXN UROGENDECARBOX-RXN RXN0-6259 
|HEXPPSYN-PWY|	hexaprenyl diphosphate biosynthesis	false	0	0	0	0	
|HISDEG-PWY|	L-histidine degradation I	false	25	0	0	0	HISTIDINE-AMMONIA-LYASE-RXN 
|HISTDEG-PWY|	L-histidine degradation IV	false	0	1	0	0	
|HISTSYN-PWY|	L-histidine biosynthesis	true	80	0	0	0	HISTALDEHYD-RXN HISTOLDEHYD-RXN HISTAMINOTRANS-RXN IMIDPHOSDEHYD-RXN GLUTAMIDOTRANS-RXN PRIBFAICARPISOM-RXN HISTCYCLOHYD-RXN ATPPHOSPHORIBOSYLTRANS-RXN 
|HOMOCYSDEGR-PWY|	L-cysteine biosynthesis III (from L-homocysteine)	false	50	0	0	0	RXN-15130 
|HOMOSER-METSYN-PWY|	L-methionine biosynthesis I	true	80	0	2	2	HOMSUCTRAN-RXN O-SUCCHOMOSERLYASE-RXN HOMOCYSMETB12-RXN CYSTATHIONINE-BETA-LYASE-RXN 
|HOMOSERSYN-PWY|	L-homoserine biosynthesis	true	100	0	0	0	ASPARTATEKIN-RXN ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN HOMOSERDEHYDROG-RXN 
|HOMOSER-THRESYN-PWY|	L-threonine biosynthesis	true	100	0	0	0	HOMOSERKIN-RXN THRESYN-RXN 
|IDNCAT-PWY|	L-idonate degradation	false	0	0	0	0	
|ILEUDEG-PWY|	L-isoleucine degradation I	true	100	0	0	0	BRANCHED-CHAINAMINOTRANSFERILEU-RXN 1.1.1.178-RXN TIGLYLCOA-HYDROXY-RXN METHYLACETOACETYLCOATHIOL-RXN 2KETO-3METHYLVALERATE-RXN 2-METHYLACYL-COA-DEHYDROGENASE-RXN 
|ILEUSYN-PWY|	L-isoleucine biosynthesis I (from threonine)	true	100	0	1	1	DIHYDROXYMETVALDEHYDRAT-RXN BRANCHED-CHAINAMINOTRANSFERILEU-RXN ACETOOHBUTREDUCTOISOM-RXN ACETOOHBUTSYN-RXN RXN-15122 
|KDO-LIPASYN-PWY|	(Kdo)2-lipid A biosynthesis I (E. coli)	false	50	0	0	0	LAUROYLACYLTRAN-RXN 
|KDOSYN-PWY|	Kdo transfer to lipid IVA I (E. coli)	true	100	0	0	0	KDOTRANS-RXN KDOTRANS2-RXN 
|LACTOSECAT-PWY|	lactose and galactose degradation I	false	0	0	0	0	
|LACTOSEUTIL-PWY|	lactose degradation II	false	33	1	1	1	KETOLACTOSE-RXN 
|LARABITOLUTIL-PWY|	xylitol degradation	false	50	0	1	0	XYLULOKIN-RXN 
|LCYSDEG-PWY|	L-cysteine degradation II	true	100	0	1	1	RXN-15129 
|LEU-DEG2-PWY|	L-leucine degradation I	true	100	0	1	1	BRANCHED-CHAINAMINOTRANSFERLEU-RXN 2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN METHYLCROTONYL-COA-CARBOXYLASE-RXN METHYLGLUTACONYL-COA-HYDRATASE-RXN HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN RXN0-2301 
|LEUSYN-PWY|	L-leucine biosynthesis	true	100	0	0	0	3-ISOPROPYLMALDEHYDROG-RXN BRANCHED-CHAINAMINOTRANSFERLEU-RXN 3-ISOPROPYLMALISOM-RXN 2-ISOPROPYLMALATESYN-RXN RXN-8991 
|LIPA-CORESYN-PWY|	lipid A-core biosynthesis (E. coli K-12)	false	27	1	0	0	RXN0-5061 RXN0-5122 
|LIPAS-PWY|	triacylglycerol degradation	false	0	0	1	0	
|LIPASYN-PWY|	phospholipases	false	40	0	0	0	PHOSPHOLIPASE-A2-RXN PHOSPHOLIPASE-A1-RXN 
|LYXMET-PWY|	L-lyxose degradation	false	0	0	1	0	
|MALTOSECAT-PWY|	maltose degradation	false	0	0	1	0	
|MANNCAT-PWY|	D-mannose degradation I	false	0	0	1	0	
|MANNIDEG-PWY|	mannitol degradation I	false	0	0	0	0	
|M-CRESOL-DEGRADATION-PWY|	m-cresol degradation	false	40	1	0	0	3-OH-BENZALDEHYDE-DEHYDROG-NADP+-RXN 
|MENAQUINONESYN-PWY|	menaquinol-8 biosynthesis	true	100	0	0	0	ADOMET-DMK-METHYLTRANSFER-RXN 
|METHIONINE-DEG1-PWY|	L-methionine degradation I (to L-homocysteine)	false	33	1	0	0	S-ADENMETSYN-RXN 
|METHYLGALLATE-DEGRADATION-PWY|	methylgallate degradation	false	40	0	1	0	OXALODECARB-RXN RXN-2464 
|N2FIX-PWY|	nitrogen fixation I (ferredoxin)	false	0	0	0	0	
|NAD-BIOSYNTHESIS-III|	NAD biosynthesis III (from nicotinamide)	false	50	0	1	0	2.7.7.1-RXN 
|NAD-BIOSYNTHESIS-II|	NAD salvage pathway III (to nicotinamide riboside)	false	33	0	2	1	RXN-5841 
|NADPHOS-DEPHOS-PWY-1|	NAD phosphorylation and transhydrogenation	true	100	0	0	0	NAD-KIN-RXN TRANS-RXN0-277 
|NAGLIPASYN-PWY|	lipid IVA biosynthesis (E. coli)	true	100	0	0	0	LIPIDADISACCHARIDESYNTH-RXN TETRAACYLDISACC4KIN-RXN LIPIDXSYNTHESIS-RXN UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN UDPACYLGLCNACDEACETYL-RXN UDPNACETYLGLUCOSAMACYLTRANS-RXN 
|NONMEVIPP-PWY|	methylerythritol phosphate pathway I	true	77	0	1	1	DXS-RXN DXPREDISOM-RXN RXN0-302 RXN0-884 ISPH2-RXN 2.7.1.148-RXN RXN-15878 
|NONOXIPENT-PWY|	pentose phosphate pathway (non-oxidative branch) I	true	100	0	1	1	TRANSALDOL-RXN 2TRANSKETO-RXN 1TRANSKETO-RXN RIBULP3EPIM-RXN RIB5PISOM-RXN 
|NOPALINEDEG-PWY|	nopaline degradation	false	0	0	0	0	
|OCTOPINEDEG-PWY|	octopine degradation	false	0	0	0	0	
|ORN-AMINOPENTANOATE-CAT-PWY|	L-ornithine degradation I (L-proline biosynthesis)	false	0	0	0	0	
|OXIDATIVEPENT-PWY|	pentose phosphate pathway (oxidative branch) I	false	33	0	0	0	GLU6PDEHYDROG-RXN 
|P101-PWY|	ectoine biosynthesis	true	100	0	1	1	R101-RXN R102-RXN R103-RXN ASPARTATEKIN-RXN ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN 
|P105-PWY|	TCA cycle IV (2-oxoglutarate decarboxylase)	true	88	0	2	2	CITSYN-RXN ACONITATEDEHYDR-RXN ACONITATEHYDR-RXN FUMHYDR-RXN SUCCSEMIALDDEHYDROG-RXN RXN-7774 ISOCITDEH-RXN RXN-14971 
|P108-PWY|	pyruvate fermentation to propanoate I	false	57	0	1	1	FUMHYDR-RXN R601-RXN RXN0-268 2.1.3.1-RXN 
|P121-PWY|	adenine and adenosine salvage I	true	100	0	0	0	ADENPHOSPHOR-RXN ADENPRIBOSYLTRAN-RXN 
|P122-PWY|	heterolactic fermentation	false	61	0	0	0	6PGLUCONDEHYDROG-RXN RIBULP3EPIM-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 2PGADEHYDRAT-RXN PEPDEPHOS-RXN PHOSACETYLTRANS-RXN ALCOHOL-DEHYDROG-RXN PGLUCISOM-RXN GLU6PDEHYDROG-RXN GLUCOKIN-RXN 
|P124-PWY|	Bifidobacterium shunt	false	73	0	2	0	TRANSALDOL-RXN 1TRANSKETO-RXN RIB5PISOM-RXN RIBULP3EPIM-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 3PGAREARR-RXN 2PGADEHYDRAT-RXN PEPDEPHOS-RXN PGLUCISOM-RXN GLUCOKIN-RXN 
|P141-PWY|	atrazine degradation I (aerobic)	false	0	0	1	0	
|P161-PWY|	acetylene degradation (anaerobic)	false	40	0	1	0	PHOSACETYLTRANS-RXN ALCOHOL-DEHYDROG-RXN 
|P162-PWY|	L-glutamate degradation V (via hydroxyglutarate)	true	80	0	0	0	GLUTAMATE-DEHYDROGENASE-RXN KETOGLUTREDUCT-RXN RXN-1083 RXN-1082 R11-RXN RXN-11662 ACETYL-COA-ACETYLTRANSFER-RXN RXN-16834 
|P163-PWY|	L-lysine fermentation to acetate and butanoate	false	40	0	1	1	LYSINE-23-AMINOMUTASE-RXN ACETYL-COA-ACETYLTRANSFER-RXN PHOSACETYLTRANS-RXN RXN-16834 
|P164-PWY|	purine nucleobases degradation I (anaerobic)	false	28	6	0	0	GUANINE-DEAMINASE-RXN 1.2.1.2-RXN FORMYLTHFDEFORMYL-RXN METHENYLTHFCYCLOHYDRO-RXN 
|P181-PWY|	nicotine degradation I (pyridine pathway)	false	21	1	0	0	SUCCSEMIALDDEHYDROG-RXN RXN-13072 
|P183-PWY|	catechol degradation to 2-hydroxypentadienoate I	false	50	0	0	0	3.7.1.9-RXN 
|P184-PWY|	protocatechuate degradation I (meta-cleavage pathway)	false	33	0	1	0	OXALODECARB-RXN RXN-2464 
|P201-PWY|	nitroglycerin degradation	false	40	3	0	0	R201-RXN R203-RXN 
|P203-PWY|	sulfur disproportionation I (anaerobic)	false	0	1	0	0	
|P21-PWY|	pentose phosphate pathway (partial)	true	100	0	0	0	RIBULP3EPIM-RXN 1TRANSKETO-RXN 2TRANSKETO-RXN 
|P221-PWY|	octane oxidation	false	80	0	1	0	R221-RXN R222-RXN R223-RXN RUBREDOXIN--NAD+-REDUCTASE-RXN 
|P222-PWY|	sulfide oxidation I (to sulfur globules)	true	100	0	0	0	R17-RXN 
|P23-PWY|	reductive TCA cycle I	false	66	0	1	0	FUMHYDR-RXN SUCCCOASYN-RXN ACONITATEHYDR-RXN ACONITATEDEHYDR-RXN PEPSYNTH-RXN PEPCARBOX-RXN ISOCITDEH-RXN R601-RXN 
|P241-PWY|	coenzyme B biosynthesis	false	6	12	0	0	RXN-7970 
|P261-PWY|	coenzyme M biosynthesis I	false	0	3	0	0	
|P282-PWY|	nitrite oxidation	false	0	0	0	0	
|P283-PWY|	hydrogen oxidation I (aerobic)	false	0	0	0	0	
|P2-PWY|	citrate lyase activation	false	0	2	0	0	
|P301-PWY|	galena oxidation	false	0	1	0	0	
|P302-PWY|	L-sorbose degradation	false	0	0	1	0	
|P303-PWY|	ammonia oxidation II (anaerobic)	false	33	0	0	0	NITRITE-REDUCTASE-CYTOCHROME-RXN 
|P321-PWY|	benzoyl-CoA degradation III (anaerobic)	false	44	1	0	0	R265-RXN R267-RXN RXN-8032 
|P342-PWY|	orcinol degradation	false	0	4	0	0	
|P343-PWY|	resorcinol degradation	false	33	0	0	0	MALEYLACETATE-REDUCTASE-RXN 
|P345-PWY|	aldoxime degradation	false	0	0	1	0	
